央视,#genre#
CCTV14,http://58.63.64.214:8888/udp/239.77.1.161:5146
CCTV14,http://60.220.167.63:8082/rtp/226.0.2.166:9240
CCTV15,http://111.161.141.169:4022/udp/225.1.2.194:5002
CCTV15,http://113.206.119.251:8001/udp/225.0.4.220:7980
CCTV15,http://113.206.119.251:8002/udp/225.0.4.220:7980
CCTV15,http://113.206.119.251:8005/udp/225.0.4.220:7980
CCTV15,http://115.153.77.143:6002/udp/239.252.219.79:5140
CCTV15,http://121.24.98.44:8090/hls/23/index.m3u8
CCTV15,http://123.101.98.21:2000/rtp/239.16.10.113:2000
CCTV15,http://123.101.98.21:2000/rtp/239.16.20.15:10150
CCTV15,http://123.101.98.21:2001/rtp/239.16.10.113:2000
CCTV15,http://123.101.98.21:2001/rtp/239.16.20.15:10150
CCTV15,http://27.10.214.203:8010/udp/225.0.4.220:7980
CCTV15,http://27.10.77.87:8010/udp/225.0.4.220:7980
CCTV15,http://58.63.64.214:8888/udp/239.77.1.239:5146
CCTV16,http://111.161.141.169:4022/udp/225.1.2.237:5002
CCTV16,http://58.63.64.214:8888/udp/239.77.0.165:5146
CCTV16,http://58.63.64.214:8888/udp/239.77.1.76:5146
CCTV16,http://60.220.167.63:8082/rtp/226.0.2.169:9264
CCTV16,http://60.223.90.51:8002/rtp/226.0.2.169:9264
CCTV17,http://111.161.141.169:4022/udp/225.1.2.52:5002
CCTV17,http://113.206.119.251:8001/udp/225.0.4.179:7980
CCTV17,http://113.206.119.251:8002/udp/225.0.4.179:7980
CCTV17,http://113.206.119.251:8005/udp/225.0.4.179:7980
CCTV17,http://115.153.77.143:6002/udp/239.252.220.192:5140
CCTV17,http://121.24.98.44:8090/hls/15/index.m3u8
CCTV17,http://123.101.98.21:2000/rtp/239.16.10.129:2000
CCTV17,http://123.101.98.21:2000/rtp/239.16.20.7:10070
CCTV17,http://123.101.98.21:2001/rtp/239.16.10.129:2000
CCTV17,http://123.101.98.21:2001/rtp/239.16.20.7:10070
CCTV17,http://183.6.110.242:9901/hls/1016/index.m3u8
CCTV17,http://27.10.214.203:8010/udp/225.0.4.179:7980
CCTV17,http://27.10.77.87:8010/udp/225.0.4.179:7980
CCTV17,http://58.63.64.214:8888/udp/239.77.1.121:5146
